Date,Open,High,Low,Close,Adj Close,Volume,M2,Open_1,High_1,Low_1,Close_1
2019-09-09,2988.43,2989.43,2969.39,2978.43,2978.43,4002890000,14981.10,2988.43,2989.43,2969.39,2978.43
2019-09-10,2971.01,2979.39,2957.01,2979.39,2979.39,4390770000,14983.38,2970.56,2978.94,2956.56,2978.94
2019-09-11,2981.41,3000.93,2975.31,3000.93,3000.93,3927550000,14985.66,2980.50,3000.02,2974.40,3000.02
2019-09-12,3009.08,3020.74,3000.92,3009.57,3009.57,3791860000,14987.94,3007.71,3019.36,2999.55,3008.20
2019-09-13,3012.21,3017.33,3002.90,3007.39,3007.39,3520060000,14990.22,3010.38,3015.49,3001.07,3005.56
2019-09-16,2996.41,3002.19,2990.67,2997.96,2997.96,4274640000,14992.50,2994.13,2999.91,2988.40,2995.68
2019-09-17,2995.67,3006.21,2993.73,3005.70,3005.70,3671840000,15003.14,2991.27,3001.79,2989.33,3001.28
2019-09-18,3001.50,3007.83,2978.57,3006.73,3006.73,3435540000,15013.78,2994.97,3001.28,2972.09,3000.19
2019-09-19,3010.36,3021.99,3003.16,3006.79,3006.79,3251290000,15024.42,3001.68,3013.28,2994.50,2998.12
2019-09-20,3008.42,3016.37,2984.68,2992.07,2992.07,6094740000,15035.06,2997.62,3005.54,2973.97,2981.33
2019-09-23,2983.50,2999.15,2982.23,2991.78,2991.78,3186590000,15045.70,2970.69,2986.27,2969.43,2978.93
2019-09-24,3002.43,3007.98,2957.73,2966.60,2966.60,3868160000,15053.84,2987.92,2993.45,2943.44,2952.27
2019-09-25,2968.35,2989.82,2952.86,2984.87,2984.87,3318870000,15061.98,2952.41,2973.77,2937.00,2968.84
2019-09-26,2985.73,2987.28,2963.71,2977.62,2977.62,3077240000,15070.12,2968.09,2969.63,2946.20,2960.03
2019-09-27,2985.47,2987.31,2945.53,2961.79,2961.79,3243650000,15078.26,2966.23,2968.06,2926.55,2942.71
2019-09-30,2967.07,2983.85,2967.07,2976.74,2976.74,3247610000,15086.40,2946.36,2963.02,2946.36,2955.96
2019-10-01,2983.69,2992.53,2938.70,2940.25,2940.25,3558040000,15091.22,2961.92,2970.69,2917.26,2918.80
2019-10-02,2924.78,2924.78,2874.93,2887.61,2887.61,3912520000,15096.04,2902.51,2902.51,2853.04,2865.62
