Date,Open,High,Low,Close,Adj Close,Volume,M2,Open_1,High_1,Low_1,Close_1
2019-09-23,8106.49,8135.81,8085.34,8112.46,8112.46,1780160000,15045.70,8106.49,8135.81,8085.34,8112.46
2019-09-24,8147.23,8158.83,7969.65,7993.63,7993.63,2302600000,15053.84,8142.82,8154.42,7965.34,7989.31
2019-09-25,7990.66,8095.00,7935.57,8077.38,8077.38,2015270000,15061.98,7982.02,8086.25,7926.99,8068.65
2019-09-26,8070.12,8072.11,7991.02,8030.66,8030.66,1832800000,15070.12,8057.04,8059.03,7978.07,8017.65
2019-09-27,8047.11,8051.83,7890.28,7939.63,7939.63,2037720000,15078.26,8029.73,8034.44,7873.24,7922.49
2019-09-30,7964.09,8012.16,7949.63,7999.34,7999.34,1805820000,15086.40,7942.60,7990.54,7928.18,7977.76
2019-10-01,8026.83,8062.50,7906.29,7908.68,7908.68,2243650000,15091.22,8002.62,8038.18,7882.44,7884.83
2019-10-02,7851.13,7852.70,7744.96,7785.25,7785.25,2495160000,15096.04,7824.95,7826.51,7719.13,7759.29
2019-10-03,7787.02,7872.26,7700.00,7872.26,7872.26,2141490000,15100.86,7758.58,7843.50,7671.87,7843.50
2019-10-04,7908.44,7986.62,7899.39,7982.47,7982.47,1736890000,15105.68,7877.04,7954.91,7868.02,7950.77
2019-10-07,7956.41,8013.31,7942.08,7956.29,7956.29,1739450000,15110.50,7922.29,7978.95,7908.02,7922.17
2019-10-08,7898.27,7921.88,7823.73,7823.78,7823.78,1933580000,15111.78,7863.73,7887.24,7789.52,7789.57
2019-10-09,7895.96,7930.92,7873.52,7903.74,7903.74,1553900000,15113.06,7860.77,7895.57,7838.43,7868.51
2019-10-10,7904.56,7982.84,7899.81,7950.78,7950.78,1778740000,15114.34,7868.66,7946.59,7863.93,7914.67
2019-10-11,8047.34,8115.80,8046.80,8057.04,8057.04,2176080000,15115.62,8010.12,8078.26,8009.58,8019.77
2019-10-14,8044.35,8069.85,8036.41,8048.65,8048.65,1419730000,15116.90,8006.46,8031.84,7998.56,8010.74
2019-10-15,8074.85,8166.18,8071.81,8148.71,8148.71,1836650000,15124.70,8032.67,8123.53,8029.65,8106.15
2019-10-16,8119.81,8146.15,8103.38,8124.18,8124.18,1886720000,15132.50,8073.23,8099.42,8056.90,8077.58
2019-10-17,8176.91,8183.64,8131.25,8156.85,8156.85,1861570000,15140.30,8125.82,8132.51,8080.44,8105.88
2019-10-18,8149.85,8157.36,8045.37,8089.54,8089.54,2012930000,15148.10,8094.76,8102.22,7990.98,8034.86
2019-10-21,8137.42,8164.14,8117.26,8162.99,8162.99,1752860000,15155.90,8078.25,8104.78,8058.24,8103.64
2019-10-22,8188.12,8194.62,8101.98,8104.30,8104.30,1847200000,15162.54,8125.02,8131.47,8039.55,8041.85
2019-10-23,8090.24,8122.88,8078.35,8119.79,8119.79,1805030000,15169.18,8024.38,8056.76,8012.59,8053.69
2019-10-24,8180.04,8187.84,8137.66,8185.80,8185.80,1882490000,15175.82,8109.90,8117.64,8067.89,8115.61
2019-10-25,8150.59,8249.97,8150.59,8243.12,8243.12,1894740000,15182.46,8077.17,8175.66,8077.17,8168.87
2019-10-28,8285.77,8335.56,8285.27,8325.99,8325.99,1956280000,15189.10,8207.54,8256.86,8207.05,8247.38
2019-10-29,8313.35,8319.29,8275.14,8276.85,8276.85,1834530000,15193.86,8232.28,8238.17,8194.45,8196.14
2019-10-30,8284.28,8315.50,8241.70,8303.98,8303.98,1928420000,15198.62,8200.93,8231.83,8158.78,8220.43
2019-10-31,8314.38,8321.80,8248.81,8292.36,8292.36,2258270000,15203.38,8228.15,8235.49,8163.26,8206.36
2019-11-01,8335.05,8386.75,8326.56,8386.40,8386.40,2057310000,15208.14,8246.02,8297.17,8237.62,8296.82
2019-11-04,8445.50,8451.37,8421.30,8433.20,8433.20,2149910000,15212.90,8352.68,8358.48,8328.74,8340.51
2019-11-05,8446.62,8457.39,8421.05,8434.68,8434.68,2316710000,15214.28,8353.03,8363.68,8327.74,8341.22
2019-11-06,8426.57,8426.57,8379.33,8410.63,8410.63,2332650000,15215.66,8332.44,8332.44,8285.73,8316.68
2019-11-07,8455.11,8483.16,8415.87,8434.52,8434.52,2393950000,15217.04,8359.91,8387.64,8321.11,8339.55
2019-11-08,8422.67,8475.57,8405.89,8475.31,8475.31,1974190000,15218.42,8327.08,8379.38,8310.49,8379.12
2019-11-11,8431.26,8467.29,8425.48,8464.28,8464.28,1715470000,15219.80,8334.81,8370.43,8329.10,8367.46
2019-11-12,8471.07,8514.84,8462.99,8486.09,8486.09,1987820000,15226.14,8370.68,8413.93,8362.70,8385.52
2019-11-13,8455.02,8496.90,8451.34,8482.10,8482.10,2173320000,15232.48,8351.34,8392.71,8347.71,8378.09
2019-11-14,8461.06,8485.36,8441.58,8479.02,8479.02,2106550000,15238.82,8353.83,8377.83,8334.60,8371.57
2019-11-15,8524.48,8540.83,8506.80,8540.83,8540.83,2188210000,15245.16,8412.95,8429.09,8395.50,8429.09
2019-11-18,8529.16,8559.78,8503.62,8549.94,8549.94,2047240000,15251.50,8414.07,8444.28,8388.87,8434.57
2019-11-19,8578.02,8589.76,8536.73,8570.66,8570.66,2075000000,15257.68,8458.84,8470.42,8418.13,8451.59
2019-11-20,8543.57,8578.27,8468.63,8526.73,8526.73,2596030000,15263.86,8421.46,8455.66,8347.59,8404.86
2019-11-21,8527.87,8530.73,8487.29,8506.21,8506.21,2056230000,15270.04,8402.58,8405.40,8362.60,8381.24
2019-11-22,8530.54,8535.46,8477.49,8519.88,8519.88,1877090000,15276.22,8401.81,8406.66,8349.56,8391.31
2019-11-25,8559.65,8633.15,8559.65,8632.49,8632.49,2256070000,15282.40,8427.08,8499.44,8427.08,8498.79
2019-11-26,8635.40,8659.73,8625.62,8647.93,8647.93,2434570000,15282.08,8501.83,8525.79,8492.20,8514.17
