Date,Open,High,Low,Close,Adj Close,Volume,M2,Open_1,High_1,Low_1,Close_1
2019-09-09,1507.53,1526.10,1506.77,1524.23,1524.23,40028900,14981.10,1507.53,1526.10,1506.77,1524.23
2019-09-10,1523.57,1543.63,1516.56,1541.61,1541.61,43907700,14983.38,1523.34,1543.40,1516.33,1541.38
2019-09-11,1543.87,1575.83,1541.88,1575.71,1575.71,39275500,14985.66,1543.40,1575.35,1541.41,1575.23
2019-09-12,1575.80,1580.72,1562.81,1575.07,1575.07,37918600,14987.94,1575.08,1580.00,1562.10,1574.35
2019-09-13,1579.23,1589.45,1577.11,1578.14,1578.14,35200600,14990.22,1578.27,1588.48,1576.15,1577.18
2019-09-16,1574.73,1590.50,1570.50,1584.60,1584.60,42746400,14992.50,1573.53,1589.29,1569.31,1583.40
2019-09-17,1582.37,1582.37,1569.41,1578.29,1578.29,36718400,15003.14,1580.05,1580.05,1567.10,1575.97
2019-09-18,1577.55,1577.55,1557.15,1568.34,1568.34,34355400,15013.78,1574.12,1574.12,1553.76,1564.93
2019-09-19,1570.76,1581.35,1560.92,1561.47,1561.47,32512900,15024.42,1566.23,1576.79,1556.42,1556.97
2019-09-20,1561.63,1570.02,1554.25,1559.76,1559.76,60947400,15035.06,1556.03,1564.39,1548.67,1554.16
2019-09-23,1556.92,1563.64,1552.45,1558.25,1558.25,31865900,15045.70,1550.24,1556.93,1545.78,1551.56
2019-09-24,1559.48,1562.63,1530.33,1533.59,1533.59,38681600,15053.84,1551.94,1555.08,1522.94,1526.18
2019-09-25,1533.14,1552.94,1530.70,1550.65,1550.65,33188700,15061.98,1524.91,1544.60,1522.48,1542.32
2019-09-26,1549.54,1549.54,1531.04,1533.33,1533.33,30772400,15070.12,1540.39,1540.39,1522.00,1524.27
2019-09-27,1534.12,1539.37,1515.64,1520.48,1520.48,32436500,15078.26,1524.23,1529.45,1505.87,1510.68
2019-09-30,1521.49,1530.66,1518.34,1523.37,1523.37,32476100,15086.40,1510.87,1519.98,1507.74,1512.74
2019-10-01,1523.85,1539.09,1491.55,1493.43,1493.43,35580400,15091.22,1512.73,1527.86,1480.67,1482.53
2019-10-02,1493.07,1493.07,1469.08,1479.63,1479.63,39125200,15096.04,1481.70,1481.70,1457.89,1468.36
